"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Brazil","BRA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9484321450143","66.5522203613655","62.0133016655827","64.3043981992838","68.1587668192023","67.9461136838542","71.0417638596824","71.8385842606957","74.6887052174239","76.5073555285021","74.3799391888103","81.8757629569719","84.1179542624621","85.3215352138492","83.4505449702081","84.8305341929988","87.1654186370003","89.7762109761478","91.8522558910515","93.6173982007093","94.1143729680585","96.1905873870837","97.2218134003495","97.5020335050058","97.9100769987215","98.2324092295465","98.4671299664193","100","","",
"Barbados","BRB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bhutan","BTN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7965034781897","19.5641124471559","23.8222951489147","18.4511103663433","32.5484019265482","43.2263727719692","42.0006962978135","58.8520518203962","52.1768388549479","57.4647749846671","59.3978196083499","71.926583275625","86.8699456277851","80.4343040136782","86.6884902100176","93.0931785293057","99.7120464124641","96.7601526850255","","",
"Botswana","BWA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.97363846903163","3.32599694199175","4.77616874624012","6.20141763423859","7.60712505318256","8.99838429352847","10.3821593293366","11.7600443740373","13.1210505620162","14.4479269450576","10.4424646047667","17.122186106967","18.478293351141","19.7456761922378","20.9155817936086","22.0066857086139","22.2242951015225","22.5798254793112","22.2452224308613","26.9456055910946","25.1559929362659","23.0558318141215","22.7361787663084","23.2026611700863","23.6281443780834","23.9882692403416","24.264212331171","","",
"Central African Republic","CAF","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0342832352418486","0","0","0","0.0834980083093834","0.205764404284677","0.437695742117953","0.582408924893384","0.690391958072069","0.750218973462096","0.750423604954395","0.106569163659916","0.638138850277719","0.566584123188842","0.512405778993352","0.184799204965948","2.71652987903885","4.86543016597619","6.75956746224928","8.57096257413608","10.613305265932","12.6423623581065","14.594809646875","","",
"Canada","CAN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Central Europe and the Baltics","CEB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Switzerland","CHE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Channel Islands","CHI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.4582999875321","71.7046523255248","71.4397500660993","73.0381699527373","73.6701784646516","74.41367079979","74.1794737406018","76.378657180512","82.962458401397","79.1124906925346","86.545767894609","82.2809063491781","83.9093796178831","92.7695094943914","87.0811683816327","88.2805454416127","96.4189842018285","90.1959728923313","91.1167872265794","97.7480003585722","96.5214227068109","97.7686455553759","100","100","100","100","100","100","","",
"China","CHN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1547176192338","91.5229051686242","91.8411503523307","92.1726224912182","92.4572241438747","92.7886244247899","93.1730443058765","93.5238640823563","94.0263898954782","94.4238962120643","94.7161292846736","95.3265567311096","95.7917593107988","96.141372308926","96.5048494197266","96.9125136234198","97.1718337186339","97.5303319947054","97.8891935703655","98.2926641256297","99.4393552282769","99.7761674733694","99.8725630661619","99.9674202194357","100","100","100","99.9726343053173","","",
"Cote d'Ivoire","CIV","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5728197097778","14.5718545913696","15.5703554153442","16.5656509399414","13.7","18.5338096618652","19.5002632141113","20.4506931304932","21.381893157959","22.5","23.186149597168","24.0697956085205","24.9492053985596","25.8304500579834","26.7195949554443","37","28.5458469390869","29.4934577941895","30.4634399414063","31.4520626068115","32.4556007385254","33.4703254699707","29","35.5184135437012","36.5449447631836","34.6293043082375","36.7315405958728","36.5919682363244","","",
